IP,NAMESERVER,Query time,Msg size,Actual Frequency [%],Max msg size,min msg size,avg msg size
14.215.150.17,f1g1ns1.dnspod.net,225msec,229,0.711956047789429,,,
111.161.57.77,f1g1ns1.dnspod.net,225msec,229,0.712043254556675,,,
14.215.155.203,f1g1ns2.dnspod.net,220msec,229,0.71213046132392,,,
58.247.212.48,f1g1ns2.dnspod.net,322msec,229,0.712217668091165,,,
58.247.212.119,f1g1ns2.dnspod.net,349msec,229,0.71230487485841,,,
111.161.57.81,f1g1ns2.dnspod.net,219msec,229,0.712392081625655,,,
14.215.155.203,f1g1ns2.dnspod.net,264msec,229,0.7124792883929,,,
58.247.212.48,f1g1ns2.dnspod.net,263msec,229,0.712566495160145,,,
58.247.212.119,f1g1ns2.dnspod.net,310msec,229,0.712653701927391,,,
111.161.57.81,f1g1ns2.dnspod.net,348msec,229,0.712740908694636,,,
14.215.155.156,f1g1ns1.dnspod.net,228msec,229,0.712828115461881,,,
14.215.155.170,f1g1ns1.dnspod.net,253msec,229,0.712915322229126,,,
14.215.150.17,f1g1ns1.dnspod.net,118msec,229,0.713002528996371,,,
111.161.57.77,f1g1ns1.dnspod.net,239msec,229,0.713089735763616,,,
14.215.155.203,f1g1ns2.dnspod.net,201msec,229,0.713176942530862,,,
58.247.212.48,f1g1ns2.dnspod.net,352msec,229,0.713264149298107,,,
58.247.212.119,f1g1ns2.dnspod.net,344msec,229,0.713351356065352,,,
111.161.57.81,f1g1ns2.dnspod.net,279msec,229,0.713438562832597,,,
14.215.155.156,f1g1ns1.dnspod.net,244msec,229,0.713525769599842,,,
14.215.155.170,f1g1ns1.dnspod.net,137msec,229,0.713612976367087,,,
14.215.150.17,f1g1ns1.dnspod.net,198msec,229,0.713700183134333,,,
111.161.57.77,f1g1ns1.dnspod.net,314msec,229,0.713787389901578,,,
111.161.57.81,f1g1ns2.dnspod.net,249msec,229,0.713874596668823,,,
14.215.155.203,f1g1ns2.dnspod.net,223msec,229,0.713961803436068,,,
58.247.212.48,f1g1ns2.dnspod.net,317msec,229,0.714049010203313,,,
58.247.212.119,f1g1ns2.dnspod.net,349msec,229,0.714136216970558,,,
111.161.57.77,f1g1ns1.dnspod.net,244msec,229,0.714223423737804,,,
14.215.155.156,f1g1ns1.dnspod.net,260msec,229,0.714310630505049,,,
14.215.155.170,f1g1ns1.dnspod.net,152msec,229,0.714397837272294,,,
14.215.150.17,f1g1ns1.dnspod.net,145msec,229,0.714485044039539,,,
14.215.155.156,f1g1ns1.dnspod.net,258msec,229,0.714572250806784,,,
14.215.155.170,f1g1ns1.dnspod.net,244msec,229,0.714659457574029,,,
14.215.150.17,f1g1ns1.dnspod.net,219msec,229,0.714746664341275,,,
111.161.57.77,f1g1ns1.dnspod.net,308msec,229,0.71483387110852,,,
14.215.155.203,f1g1ns2.dnspod.net,270msec,229,0.714921077875765,,,
58.247.212.48,f1g1ns2.dnspod.net,350msec,229,0.71500828464301,,,
58.247.212.119,f1g1ns2.dnspod.net,326msec,229,0.715095491410255,,,
111.161.57.81,f1g1ns2.dnspod.net,296msec,229,0.7151826981775,,,
111.161.57.77,f1g1ns1.dnspod.net,421msec,229,0.715269904944746,,,
14.215.155.156,f1g1ns1.dnspod.net,253msec,229,0.715357111711991,,,
14.215.155.170,f1g1ns1.dnspod.net,222msec,229,0.715444318479236,,,
14.215.150.17,f1g1ns1.dnspod.net,164msec,229,0.715531525246481,,,
111.161.57.81,f1g1ns2.dnspod.net,273msec,229,0.715618732013726,,,
14.215.155.203,f1g1ns2.dnspod.net,219msec,229,0.715705938780971,,,
58.247.212.48,f1g1ns2.dnspod.net,324msec,229,0.715793145548216,,,
58.247.212.119,f1g1ns2.dnspod.net,348msec,229,0.715880352315462,,,
14.215.155.203,f1g1ns2.dnspod.net,151msec,229,0.715967559082707,,,
58.247.212.48,f1g1ns2.dnspod.net,264msec,229,0.716054765849952,,,
58.247.212.119,f1g1ns2.dnspod.net,350msec,229,0.716141972617197,,,
111.161.57.81,f1g1ns2.dnspod.net,235msec,229,0.716229179384442,,,
14.215.155.156,f1g1ns1.dnspod.net,219msec,229,0.716316386151688,,,
14.215.155.170,f1g1ns1.dnspod.net,255msec,229,0.716403592918933,,,
