IP,NAMESERVER,Query time,Msg size
204.13.250.31,ns2.p31.dynect.net,4msec,212
208.78.71.31,ns3.p31.dynect.net,10msec,240
204.74.108.1,pdns1.ultradns.net,4msec,394
199.7.69.1,pdns4.ultradns.org,3msec,394
61.151.180.52,ns4.dnsv5.com,,
59.36.120.147,ns4.dnsv5.com,,
52.198.159.146,ns4.dnsv5.com,80msec,272
125.39.213.166,ns4.dnsv5.com,503msec,272
223.166.151.126,ns4.dnsv5.com,,
18.235.54.99,ns4.dnsv5.com,315msec,272
162.14.18.121,ns4.dnsv5.com,3msec,272
182.254.20.44,ns4.dnsv5.com,289msec,272
14.215.150.13,ns4.dnsv5.com,245msec,272
180.163.19.12,ns4.dnsv5.com,,
101.226.220.12,ns4.dnsv5.com,,
61.151.180.51,ns3.dnsv5.com,,
58.251.86.12,ns3.dnsv5.com,404msec,256
14.215.150.16,ns3.dnsv5.com,246msec,256
59.36.120.148,ns3.dnsv5.com,232msec,256
18.194.2.137,ns3.dnsv5.com,178msec,256
223.166.151.16,ns3.dnsv5.com,,
117.135.170.109,ns3.dnsv5.com,285msec,256
162.14.18.188,ns3.dnsv5.com,4msec,256
182.140.167.191,ns3.dnsv5.com,,
52.77.238.92,ns3.dnsv5.com,5msec,256
61.151.180.52,ns4.dnsv5.com,,
59.36.120.147,ns4.dnsv5.com,187msec,272
52.198.159.146,ns4.dnsv5.com,77msec,272
125.39.213.166,ns4.dnsv5.com,309msec,272
223.166.151.126,ns4.dnsv5.com,,
18.235.54.99,ns4.dnsv5.com,289msec,272
162.14.18.121,ns4.dnsv5.com,7msec,272
182.254.20.44,ns4.dnsv5.com,194msec,272
14.215.150.13,ns4.dnsv5.com,169msec,272
180.163.19.12,ns4.dnsv5.com,,
101.226.220.12,ns4.dnsv5.com,,
61.151.180.51,ns3.dnsv5.com,,
58.251.86.12,ns3.dnsv5.com,444msec,256
14.215.150.16,ns3.dnsv5.com,246msec,256
59.36.120.148,ns3.dnsv5.com,219msec,256
18.194.2.137,ns3.dnsv5.com,201msec,256
223.166.151.16,ns3.dnsv5.com,,
117.135.170.109,ns3.dnsv5.com,211msec,256
162.14.18.188,ns3.dnsv5.com,4msec,256
182.140.167.191,ns3.dnsv5.com,,
52.77.238.92,ns3.dnsv5.com,7msec,256
5.61.23.9,ns1.ok.ru,315msec,54
217.20.155.93,ns3.ok.ru,205msec,54
217.20.156.50,ns2.ok.ru,306msec,54
217.akam.net.,a,,
66.akam.net.,a2,,
67.akam.net.,a2,,
dns,adob,,
dns,adob,,
64.akam.net.,a,,
64.akam.net.,a1,,
65.akam.net.,a1,,
1162.awsdns,n,,
1949.awsdns,n,,
315.awsdns,n,,
564.awsdns,n,,
198.51.44.6,dns1.p06.nsone.net,37msec,110
198.51.45.6,dns2.p06.nsone.net,40msec,110
198.51.44.70,dns3.p06.nsone.net,42msec,110
198.51.45.70,dns4.p06.nsone.net,41msec,110
173.245.59.65,anuj.ns.cloudflare.com,4msec,72
173.245.58.222,sima.ns.cloudflare.com,5msec,72
198.7.29.6,ns4.edgecastdns.net,8msec,64
68.142.255.16,ns2.yahoo.com,4msec,307
192.16.16.5,ns1.edgecastdns.net,6msec,64
68.180.131.16,ns1.yahoo.com,4msec,307
192.16.16.6,ns2.edgecastdns.net,31msec,64
198.7.29.5,ns3.edgecastdns.net,14msec,64
159.53.110.153,ns06.jpmorganchase.com,283msec,67
159.53.46.53,ns1.jpmorganchase.com,334msec,66
159.53.78.53,ns2.jpmorganchase.com,334msec,66
159.53.110.152,ns05.jpmorganchase.com,245msec,67
202.130.245.13,ns1.china.org.cn,362msec,126
online.com.cn.,ns1.chin,,
198.51.44.9,dns1.p09.nsone.net,42msec,110
198.51.45.9,dns2.p09.nsone.net,42msec,110
198.51.44.73,dns3.p09.nsone.net,39msec,110
198.51.45.73,dns4.p09.nsone.net,41msec,110
208.78.70.43,ns1.p43.dynect.net,12msec,240
208.78.71.43,ns3.p43.dynect.net,4msec,240
204.13.251.43,ns4.p43.dynect.net,4msec,212
216.239.32.10,ns1.google.com,5msec,87
216.239.34.10,ns2.google.com,6msec,87
216.239.36.10,ns3.google.com,51msec,87
216.239.38.10,ns4.google.com,264msec,87
198.51.44.3,dns1.p03.nsone.net,37msec,110
198.51.45.3,dns2.p03.nsone.net,38msec,110
198.51.44.67,dns3.p03.nsone.net,40msec,110
198.51.45.67,dns4.p03.nsone.net,43msec,110
1303.awsdns,n,,
1659.awsdns,n,,
451.awsdns,n,,
646.awsdns,n,,
156.154.67.17,ns4.bbc.co.uk,362msec,206
156.154.64.17,ns3.bbc.net.uk,4msec,32
156.154.66.17,ns3.bbc.co.uk,280msec,206
156.154.65.17,ns4.bbc.net.uk,4msec,32
42.81.124.83,ns2.hexun.com,259msec,173
60.28.251.1,ns3.hexun.com,434msec,173
1332.awsdns,n,,
2018.awsdns,n,,
430.awsdns,n,,
809.awsdns,n,,
216.239.38.10,ns4.google.com,219msec,87
216.239.34.10,ns2.google.com,4msec,87
216.239.36.10,ns3.google.com,51msec,87
216.239.32.10,ns1.google.com,3msec,87
204.13.251.31,ns4.p31.dynect.net,4msec,212
204.74.108.1,pdns1.ultradns.net,4msec,394
208.78.71.31,ns3.p31.dynect.net,8msec,240
204.74.114.1,pdns5.ultradns.info,39msec,394
204.74.109.1,pdns2.ultradns.net,4msec,394
199.7.68.1,pdns3.ultradns.org,187msec,394
204.13.250.31,ns2.p31.dynect.net,4msec,212
199.7.69.1,pdns4.ultradns.org,3msec,394
204.74.115.1,pdns6.ultradns.co.uk,8msec,394
208.78.70.31,ns1.p31.dynect.net,5msec,240
216.239.34.10,ns2.google.com,5msec,87
216.239.32.10,ns1.google.com,9msec,87
216.239.36.10,ns3.google.com,52msec,87
216.239.38.10,ns4.google.com,232msec,87
202.144.63.4,pdns.satyam.net.in,,
202.144.63.12,sdns.satyam.net.in,82msec,134
208.78.71.11,ns3.p11.dynect.net,5msec,240
204.13.251.11,ns4.p11.dynect.net,4msec,212
208.78.70.11,ns1.p11.dynect.net,10msec,240
204.13.250.11,ns2.p11.dynect.net,4msec,212
52.74.43.18,ns4.dnsv4.com,4msec,240
183.232.90.141,ns4.dnsv4.com,75msec,240
223.166.151.14,ns4.dnsv4.com,,
111.161.57.58,ns4.dnsv4.com,510msec,240
61.151.180.50,ns4.dnsv4.com,,
223.166.151.15,ns4.dnsv4.com,,
162.14.18.188,ns4.dnsv4.com,4msec,240
58.251.86.11,ns4.dnsv4.com,453msec,240
14.215.150.15,ns4.dnsv4.com,172msec,240
61.151.180.49,ns3.dnsv4.com,,
59.36.120.145,ns3.dnsv4.com,230msec,240
61.129.8.140,ns3.dnsv4.com,,
125.39.213.169,ns3.dnsv4.com,337msec,240
182.140.167.169,ns3.dnsv4.com,,
162.14.18.121,ns3.dnsv4.com,5msec,240
183.232.90.141,ns3.dnsv4.com,71msec,240
52.74.43.18,ns3.dnsv4.com,4msec,240
14.215.150.14,ns3.dnsv4.com,259msec,240
114.67.46.13,dns1.zdnscloud.info,222msec,286
114.67.46.14,dns1.zdnscloud.info,239msec,286
35.201.176.176,ns1.pixdns.tw,52msec,140
209.73.157.154,ns2.pixdns.tw,258msec,140
113.196.243.5,ns3.pixdns.tw,77msec,140
detail.tmall.com.danuoyi.tbcache.com.,detail.tmall.com,,
danuoyins7.tbcache.com.,danuoyi.tbcache.com,478msec,37
216.239.36.10,ns3.google.com,50msec,87
216.239.34.10,ns2.google.com,9msec,87
216.239.32.10,ns1.google.com,4msec,87
216.239.38.10,ns4.google.com,286msec,87
198.51.45.71,dns4.p07.nsone.net,58msec,110
204.13.250.23,ns2.p23.dynect.net,4msec,212
204.13.251.23,ns4.p23.dynect.net,4msec,212
208.78.71.23,ns3.p23.dynect.net,5msec,240
198.51.45.7,dns2.p07.nsone.net,41msec,110
198.51.44.7,dns1.p07.nsone.net,40msec,110
198.51.44.71,dns3.p07.nsone.net,40msec,110
208.78.70.23,ns1.p23.dynect.net,4msec,240
208.80.127.2,ns4.dnsmadeeasy.com,38msec,416
208.80.126.2,ns2.dnsmadeeasy.com,40msec,416
208.80.125.2,ns3.dnsmadeeasy.com,35msec,416
208.80.124.2,ns1.dnsmadeeasy.com,35msec,416
208.94.148.2,ns0.dnsmadeeasy.com,3msec,416
208.76.45.53,ns4.msft.net,4msec,85
193.221.113.53,ns3.msft.net,37msec,85
208.84.0.53,ns1.msft.net,37msec,85
208.84.2.53,ns2.msft.net,4msec,85
156.154.68.4,Pdnswm5.ultradns.info,47msec,404
156.154.64.4,Pdnswm1.ultradns.net,4msec,404
156.154.69.4,Pdnswm6.ultradns.co.uk,12msec,404
156.154.65.4,Pdnswm2.ultradns.net,5msec,404
156.154.67.4,Pdnswm4.ultradns.org,193msec,404
67.akam.net.,a2,,
64.akam.net.,a,,
66.akam.net.,a1,,
185.akam.net.,a,,
66.akam.net.,a,,
65.akam.net.,a,,
156.154.66.4,Pdnswm3.ultradns.org,217msec,404
198.51.44.5,dns1.p05.nsone.net,40msec,110
198.51.45.5,dns2.p05.nsone.net,41msec,110
198.51.44.69,dns3.p05.nsone.net,40msec,110
198.51.45.69,dns4.p05.nsone.net,43msec,110
156.154.64.100,pdns100.ultradns.com,7msec,396
204.13.250.57,ns2.p57.dynect.net,5msec,212
208.78.70.57,ns1.p57.dynect.net,4msec,240
156.154.65.100,pdns100.ultradns.net,4msec,396
204.74.108.1,pdns1.ultradns.net,4msec,394
204.13.250.31,ns2.p31.dynect.net,4msec,212
208.78.71.31,ns3.p31.dynect.net,9msec,240
208.78.70.31,ns1.p31.dynect.net,11msec,240
